Référence du projet;Méthode;Nom du projet;RE potentielles (tCO2);RE vérifiées (tCO2);Région administrative;Demandeur;Date de notification;Date de labelisation;Financé à
25964179;Boisement;P0069 _ SOCOGEF _ BOISEMENT ANCIENNES VIGNES _ LOUPIAC & GABARNAC (33);2367;0;Nouvelle Aquitaine;SASU SOCOGEF;11/04/2025;17/07/2026;0.00 %
30589352;Boisement;Carbonapp n°382 Boisement Beauronne (24);1115;0;Nouvelle Aquitaine;Carbonapp SAS;10/04/2026;17/07/2026;0.00 %
26968937;Boisement;Alliance Forêts Bois / GCF n°765 - La Roche-Chalais 6 (24);5927;0;Nouvelle Aquitaine;Alliance Forêts bois;07/10/2025;16/07/2026;0.00 %
30102944;Boisement;Forêt de Perfonts - îlot de Grange Neuve;2822;0;Nouvelle Aquitaine;Le Printemps des Terres S.A.S;20/03/2026;16/07/2026;0.00 %
27699894;Boisement;Projet Néosylva - Nouvelle-Aquitaine (87) - 2CHAM-124;471;0;Nouvelle Aquitaine;NEOSYLVA INVESTISSEMENT FORESTIER;13/11/2025;16/07/2026;0.00 %
31541525;Boisement;Alliance Forêts Bois / GCF n°856 - Saint-Justin 7 (40);896;0;Nouvelle Aquitaine;Alliance Forêts bois;27/05/2026;16/07/2026;0.00 %
26539049;Boisement;Alliance Forêt Bois / GCF n°698 - Brossac 1 (16) ;891;0;Nouvelle Aquitaine;Alliance Forêts bois;19/09/2025;16/07/2026;0.00 %
29691585;Boisement;Alliance Forêts Bois / GCF n°781 - Saint-Julien-d'Armagnac 3 (40);2722;0;Nouvelle Aquitaine;Alliance Forêts bois;02/03/2026;16/07/2026;0.00 %
30103349;Boisement;Forêt de Perfonts - îlot de Saint-Georges;2980;0;Nouvelle Aquitaine;Le Printemps des Terres S.A.S;20/03/2026;16/07/2026;0.00 %
27066676;Boisement;Oklima - Boisement à Flaujagues;734;0;Nouvelle Aquitaine;Oklima;10/10/2025;16/07/2026;0.00 %
22510665;Boisement;Oklima-Forêt-Aiguillon;696;0;Nouvelle Aquitaine;Oklima;14/02/2025;16/07/2026;0.00 %
28048376;Boisement;OKLIMA - Boisement à Fauillet - 2;5321;0;Nouvelle Aquitaine;Oklima;03/12/2025;16/07/2026;0.00 %
28368452;Reboisement;Oklima-Forêt-Landiras;3364;0;Nouvelle Aquitaine;Oklima;22/12/2025;16/07/2026;0.00 %
29693461;Boisement;Alliance Forêts Bois / GCF n°806 - Aurice 3 (40);746;0;Nouvelle Aquitaine;Alliance Forêts bois;02/03/2026;16/07/2026;0.00 %
20219339;Reboisement;Oklima -forêt- La Teste de Buch;698;0;Nouvelle Aquitaine;Oklima;30/09/2024;16/07/2026;0.00 %
30556621;Reboisement;Carbonapp n°368 Reboisement Saumos 3 (33);5023;0;Nouvelle Aquitaine;Carbonapp SAS;09/04/2026;16/07/2026;0.00 %
24928291;CarbonAgri;Stock CO2 n°346 - Pays de la Loire;7905;0;Pays de la Loire;;08/07/2025;15/07/2026;0.00 %
28557901;Boisement;Projet Néosylva - Normandie (61) - 2ETRE-125;1031;0;Normandie;NEOSYLVA INVESTISSEMENT FORESTIER;06/01/2026;15/07/2026;0.00 %
20512864;Boisement;Projet Néosylva - Pays de la Loire (85) - 2TOUC-123;5751;0;Pays de la Loire;NEOSYLVA INVESTISSEMENT FORESTIER;14/10/2024;15/07/2026;0.00 %
25574961;Reboisement;PROJET DE REBOISEMENT EN FC DE SAINT AVOLD _2025;923;0;Grand Est;EPIC Office National des Forêts (ONF);29/07/2025;15/07/2026;0.00 %
26764490;Boisement;VIEILLEVIGNE - Fransylva Services;2741;0;Pays de la Loire;FRANSYLVA SERVICES;20/09/2025;15/07/2026;0.00 %
27314637;Boisement;Boisement de la Croix des Fontaines;385;0;Pays de la Loire;SELARL CABINET LORNE;06/11/2025;15/07/2026;0.00 %
27531329;Boisement;Alliance Forêts Bois / GCF n°760 - Sainte-Brigitte 1 (56);1463;0;Bretagne;Alliance Forêts bois;04/11/2025;09/07/2026;0.00 %
26258250;Boisement;STOCK CO2 n°397 - Centre Val de Loire (37);1509;0;Centre Val de Loire;;08/09/2025;08/07/2026;0.00 %
21831149;Reboisement;SF²X4C_HERON_R1;4033;0;Grand Est;SOCIETE FORESTIERE DE LA CAISSE DES DEPOTS ET CONSIGNATIONS;10/01/2025;08/07/2026;0.00 %
31081339;Reboisement;CNPF C+for n° 276 Cussy-en-Morvan;198;0;Bourgogne Franche Comté;Olivier GLEIZES;04/05/2026;07/07/2026;0.00 %
28788150;Ville arborée;SF²X4C_Les Perspectives;30;0;Ile de France;SOCIETE FORESTIERE;12/02/2026;07/07/2026;0.00 %
31543980;Boisement;Alliance Forêts Bois / GCF n°838 - Coulounieix-Chamiers 1;496;0;Nouvelle Aquitaine;Alliance Forêts bois;27/05/2026;07/07/2026;0.00 %
20862621;Ville arborée;Végétalisation des abords de la Gare du Nord ;41;0;Ile de France;Ville de Paris ;25/11/2024;07/07/2026;0.00 %
28786882;Ville arborée;SF²X4C_Parc des Baladins;56;0;Ile de France;SOCIETE FORESTIERE;12/02/2026;07/07/2026;0.00 %
26055915;Grandes Cultures;ReSoil - 2025 - Essonne n°1;400;0;Ile de France;ReSoil;31/08/2024;07/07/2026;100.00 %
27414346;Balivage;MaForêt #145 - Saint-Martin-des-Champs (78);90;0;Ile de France;Actiforest;05/11/2025;07/07/2026;0.00 %
29409591;CarbonAgri;Projet de transition bas carbone Normandie - Oklima;4180;0;Normandie;Oklima;16/02/2026;06/07/2026;0.00 %
24800427;Haies;Haies de la Petellerie;145;0;Normandie;Le Printemps des Terres S.A.S;17/06/2025;06/07/2026;0.00 %
28072175;Boisement;Carbonapp n°345 Boisement Parleboscq 2 (40);4382;0;Nouvelle Aquitaine;Carbonapp SAS;04/12/2025;03/07/2026;0.00 %
28550204;Boisement;Alliance Forêts Bois / GCF n°762 - Saubusse 1 (40);449;0;Nouvelle Aquitaine;Alliance Forêts bois;06/01/2026;03/07/2026;0.00 %
27602776;Boisement;Alliance Forêts Bois / GCF n°747 - Baleix 1 (64);456;0;Nouvelle Aquitaine;Alliance Forêts bois;07/11/2025;03/07/2026;0.00 %
19637779;Grandes Cultures;Projet Haut de France <> SysFarm N°33;436;0;Hauts-de-France;SAS SYSFARM;29/08/2024;02/07/2026;0.00 %
27585563;Boisement;Hendecourt les Cagnicourt - Fransylva services;260;0;Hauts-de-France;FRANSYLVA SERVICES;06/11/2025;02/07/2026;0.00 %
29114965;Boisement;CNPF C+for n° 259 Bomy (Deloitte France n° 8);2346;0;Hauts-de-France;Olivier GLEIZES;09/02/2026;02/07/2026;0.00 %
21460503;Reboisement;SF²X4C_PERRIERE_R1;4083;0;Bourgogne Franche Comté;SOCIETE FORESTIERE;13/12/2024;02/07/2026;0.00 %
28448708;Boisement;SYLVO/UNISYLVA-N°29-Coulandon (03000);2855;0;Auvergne Rhône Alpes;UNISYLVA;30/12/2025;02/07/2026;0.00 %
